Easy001	1	1000013	71573	172	0,35,12,21,36,
Easy002	1	1000044	59798	2305	6,20,30,5,50,47,
Easy003	1	1000148	42912	780	51,35,47,5,5,22,1,40,40,31,56,30,10,46,
Easy004	1	1000022	62717	488	45,55,20,10,5,30,5,46,
Easy005	1	1000249	43291	48	45,20,46,35,7,30,40,25,
Easy006	1	1001930	35250	1602	1,80,40,40,60,80,76,60,61,55,85,85,75,
Easy007	1	1000872	40334	2410	40,0,40,50,21,0,66,71,52,45,65,35,76,
Easy008	1	1000238	37657	2378	5,51,80,35,15,22,10,76,41,
Easy009	1	1000227	35910	2581	75,66,46,0,45,10,60,25,86,26,31,50,
Easy010	1	1000202	35284	590	30,1,26,61,75,25,5,30,41,61,
Easy011	1	1000384	35441	5990	65,10,20,20,1,70,40,65,52,75,5,65,
Easy012	1	1000384	35492	2370	0,0,15,60,22,70,72,10,40,80,6,5,55,
Easy013	1	1000119	33137	864	33,10,25,40,55,77,67,
Easy014	1	1000052	42959	7093	40,50,10,50,0,0,71,81,65,80,75,
Easy015	1	1000178	50817	291	30,30,52,1,15,15,0,20,36,22,31,40,40,11,
Easy016	1	1000230	40623	729	75,55,15,25,31,31,10,20,40,6,65,
Easy017	1	1000535	39882	132	0,0,15,75,80,90,15,20,21,10,95,30,85,70,10,30,
Easy018	1	1000196	34926	16466	1,31,50,30,21,20,11,41,76,50,66,65,20,75,30,
Easy019	1	1000533	49105	784	60,42,65,0,75,16,15,51,40,5,50,20,
Easy020	1	1000127	46803	964	0,90,85,15,70,91,61,51,35,46,35,50,60,97,
Easy021	1	1000239	86094	5768	10,61,20,43,25,25,30,56,65,66,
Easy022	1	1000284	35256	2376	61,0,16,70,85,71,22,31,61,15,5,41,
Easy023	1	1000349	37151	2096	25,65,0,25,0,30,31,6,75,40,80,65,50,65,
Easy024	1	1000400	33330	8953	5,80,71,81,40,65,65,25,35,65,
Easy025	1	1000173	39715	2298	0,70,50,31,40,11,30,75,6,65,
Easy026	1	1000118	35715	1597	27,65,17,30,57,30,5,40,71,66,
Easy027	1	1000475	45748	5144	76,0,17,65,25,30,31,40,20,50,
Easy028	1	1000686	42098	2196	1,31,43,66,50,65,35,6,25,
Easy029	1	1000147	35873	4189	40,30,40,5,15,71,20,30,65,66,
Easy030	1	1000573	35548	26607	50,0,70,0,40,60,50,62,55,45,70,35,6,86,85,
Easy031	1	1000241	33643	6193	30,6,71,40,40,80,51,80,20,67,5,10,
Easy032	1	1000986	33169	3521	0,80,51,65,75,10,21,50,30,85,
Easy033	1	1000436	42387	56	26,86,31,55,5,61,90,46,6,56,36,80,21,
Easy034	1	1000061	43381	2208	51,75,0,30,26,25,5,50,15,62,50,30,
Easy035	1	1001061	33824	2610	60,10,33,40,55,75,15,25,67,
Easy036	1	1000206	56129	993	50,65,66,46,20,45,10,21,60,70,30,55,56,
Easy037	1	1000269	44486	2376	5,5,70,5,95,15,80,15,25,50,26,80,30,10,40,90,75,75,60,75,
Easy038	1	1000548	33123	22236	10,30,41,75,81,51,61,30,20,76,
Easy039	1	1000026	38941	14874	40,30,0,75,50,40,52,26,80,35,76,45,
Easy040	1	1000194	46710	11250	45,10,45,20,50,5,50,70,67,
Easy041	1	1000339	42511	1492	40,75,60,76,1,15,20,21,10,5,31,
Easy042	1	1001099	33880	2996	70,30,40,55,0,60,32,65,10,5,75,55,
Easy043	1	1000174	67396	1680	45,0,25,90,70,90,50,51,35,86,96,
Easy044	1	1000110	40196	552	70,66,7,55,11,71,55,20,40,55,
