Easy001	1	100028	7206	172	0,10,10,20,35,10,5,20,36,
Easy002	1	100023	5926	2305	20,7,30,50,47,
Easy003	1	100860	3979	772	50,50,35,10,47,6,22,1,40,40,30,55,31,46,55,
Easy004	1	100029	6271	488	20,30,47,55,10,
Easy005	1	100071	4344	48	46,20,45,35,5,6,30,40,25,
Easy006	1	100595	3539	1602	0,60,40,40,75,0,81,62,75,75,86,55,
Easy007	1	100699	3972	2410	20,0,40,40,50,0,67,70,20,70,52,75,45,75,5,35,
Easy008	1	100148	3759	2378	50,5,40,50,80,35,15,22,40,76,10,
Easy009	1	100315	3555	2580	10,75,66,46,0,25,45,60,26,31,85,50,85,
Easy010	1	100048	3483	590	1,30,26,30,60,60,75,40,25,6,61,40,
Easy011	1	100339	3472	5913	20,40,10,20,0,65,0,65,70,52,35,75,5,65,
Easy012	1	100257	3499	2367	0,60,71,0,15,20,21,80,55,40,10,71,
Easy013	1	100189	3315	864	32,25,76,30,10,40,55,75,67,
Easy014	1	100294	4043	6944	40,10,70,50,50,0,0,70,83,75,5,65,
Easy015	1	100233	5043	291	31,2,35,50,51,35,15,15,22,41,20,10,30,10,30,
Easy016	1	100606	3982	729	55,75,25,15,31,31,65,40,10,20,
Easy017	1	100473	4005	132	1,15,75,80,90,15,21,30,30,20,10,95,85,70,10,
Easy018	1	100474	3414	16128	0,31,0,40,30,23,50,10,10,40,30,65,50,65,50,5,65,77,
Easy019	1	100183	4691	782	0,15,50,60,40,42,65,15,50,75,50,15,20,
Easy020	1	100286	4657	964	0,90,85,90,15,70,60,90,51,60,50,60,45,95,36,96,6,45,
Easy021	1	100518	5045	3301	60,60,20,43,26,65,30,56,10,66,
Easy022	1	100239	3500	2368	60,0,60,85,17,22,70,71,31,60,6,41,60,
Easy023	1	100553	3714	2096	65,25,0,25,0,30,30,75,40,80,50,65,30,5,65,
Easy024	1	100375	3296	8890	5,71,21,82,40,67,35,
Easy025	1	100339	3867	2293	0,70,30,30,30,40,75,50,10,10,65,
Easy026	1	100247	3439	1571	65,25,15,57,15,31,15,6,26,65,40,71,65,
Easy027	1	100355	4389	5116	76,65,25,0,30,15,50,30,40,15,30,15,20,
Easy028	1	100123	4154	2196	0,40,0,31,41,40,66,25,35,50,65,
Easy029	1	100557	3546	4162	41,30,6,15,71,20,65,30,66,
Easy030	1	100111	3443	24822	0,0,10,40,85,53,72,60,61,86,36,75,45,
Easy031	1	100399	3325	6128	6,20,70,70,81,40,66,30,50,40,10,50,65,
Easy032	1	101219	3349	3521	20,65,0,80,51,50,85,10,5,20,75,30,
Easy033	1	100255	4249	56	25,25,86,31,55,5,61,90,45,45,55,5,5,35,55,35,80,21,
Easy034	1	100367	4009	2165	51,50,75,0,27,5,15,62,30,30,50,
Easy035	1	100652	3302	2560	40,75,60,10,33,15,65,55,25,65,65,
Easy036	1	100059	5552	993	50,65,45,45,45,10,66,20,70,21,60,30,57,
Easy037	1	100507	4396	2371	5,70,5,5,15,95,15,26,81,30,50,25,10,90,60,75,40,76,
Easy038	1	100226	3258	21625	30,40,5,40,20,51,60,11,60,30,81,75,76,
Easy039	1	100316	3411	13082	0,75,41,65,80,30,41,5,51,26,50,35,76,
Easy040	1	100065	4156	10735	65,11,20,5,35,40,10,51,70,65,65,
Easy041	1	100718	4136	1492	40,60,77,1,30,15,22,30,10,
Easy042	1	100814	3378	2983	0,60,40,70,10,30,31,75,30,56,65,
Easy043	1	100478	6590	1679	45,0,25,70,90,90,52,35,96,86,
Easy044	1	100160	3981	552	66,6,11,70,71,5,20,56,40,55,
Easy045	1	100333	3288	4294	11,0,80,21,75,62,85,5,75,30,
Easy046	1	100093	3924	442	85,10,0,20,20,85,30,40,50,75,76,60,20,
Easy047	1	100170	4398	1246	70,71,66,0,45,15,25,32,20,30,10,5,70,
Easy048	1	101554	3474	4838	21,10,20,10,65,30,65,40,65,50,77,20,
Easy049	1	100129	3626	4295	25,0,15,33,50,10,5,50,40,20,
Easy050	1	100679	3506	767	40,40,1,15,20,0,46,15,33,20,50,40,10,50,21,40,10,
Easy051	1	100458	3448	1440	0,0,50,75,80,60,40,15,15,75,75,22,10,30,10,30,
Easy052	1	100687	3638	3066	36,46,95,75,45,85,95,25,86,35,51,
Easy053	1	101042	3272	1355	20,40,5,71,62,80,70,57,10,
Easy054	1	100043	4636	338	41,75,55,40,55,55,5,60,5,40,15,60,20,20,
Easy055	1	100141	3797	5838	40,50,85,25,0,15,32,16,50,76,20,
Easy056	1	100717	4286	1300	25,30,80,51,72,55,85,55,66,20,70,86,5,36,
Easy057	1	100408	3438	6692	71,65,11,43,36,35,75,20,65,75,50,65,
Easy058	1	100345	3905	6106	17,0,25,26,71,70,30,30,50,45,60,85,
Easy059	1	100088	3758	11430	55,0,16,25,100,15,30,55,30,25,40,41,30,20,5,20,61,71,
Easy060	1	100280	5162	412	77,30,50,50,1,0,55,15,22,40,10,20,50,
Easy061	1	100257	3725	4550	10,20,30,30,75,41,65,52,66,45,76,
Easy062	1	100506	3432	5629	45,70,70,10,5,50,31,30,60,70,56,25,46,
Easy063	1	100441	3418	549	1,41,31,50,52,45,61,60,60,35,35,26,45,15,6,15,
Easy064	1	100178	4905	884	50,75,0,50,75,67,0,15,20,21,30,51,10,
Easy065	1	100290	6760	966	40,25,67,31,5,40,70,50,25,
Easy066	1	100431	4168	828	71,36,40,60,25,1,41,40,30,5,77,
Easy067	1	100397	3934	2679	21,56,30,60,70,10,40,87,55,10,
Easy068	1	100201	3386	3263	25,60,0,16,70,31,60,30,40,85,71,15,20,20,6,60,40,60,
Easy069	1	100292	4742	1245	10,71,80,80,35,26,40,41,20,30,85,50,60,86,
Easy070	1	100596	3627	5819	45,15,5,61,72,25,56,55,35,
Easy071	1	101145	3294	1535	0,15,16,72,20,40,20,60,50,60,85,35,
Easy072	1	100077	3701	8523	70,42,5,16,61,70,32,56,25,75,55,75,
Easy073	1	101462	4788	300	56,75,65,65,85,76,1,15,25,32,40,30,10,5,20,5,85,
Easy074	1	100275	4282	4173	56,11,20,30,10,30,40,6,40,70,65,65,
Easy075	1	100214	3598	902	30,0,0,31,16,75,20,65,15,40,80,50,5,66,
Easy076	1	100553	3613	4705	70,5,15,15,50,45,60,31,25,70,30,70,66,45,45,
Easy077	1	100696	3698	18603	30,5,17,90,40,20,40,5,52,85,60,70,86,
Easy078	1	100748	3652	1910	25,10,35,0,41,35,40,65,50,5,70,66,
Easy079	1	100237	6627	1280	66,15,20,65,31,7,35,60,10,
Easy080	1	100225	3435	12098	40,80,5,35,55,15,71,81,66,15,20,65,
